Name of the column exactly as it appears in the dataset.,"A brief, plain-language explanation of what the data in the column means. ","Specifies if there is an expected range and/or format of possible values. For example, if the data type is Date & Time, this field will note whether the timestamp is MM/DD/YYYY or MM/YYYY. If the Column Name is ice cream, this field might note that values can be Chocolate, Vanilla or Strawberry.

If relevant, this field specifies the unit of measurement of the data field, e.g. thousands, millions, $ value, miles, feet, year, etc.","Describes any unique characteristics or potential analytical limitations presented by this field, including: 
- the reasoning for any null, zero, or empty values in the data
- if the data in the column was integrated from another dataset or organization
- if the data covered includes a different time period
- the source of the column and how the data in the column was generated. 

For example, information on how the data in this column was generated can include  whether the data was self-reported directly by a person, system generated by a database or agency system, derived through analytical manipulation of other fields or records; or obtained from a different agency.","Provides any additional relevant information about the data in the column, including: 
- definitions of acronyms, special term or codes, or jargon that appears in the field values;
- the meaning of confusing or non-intuitive values in the data; 
- how the information in this column relates to information in other columns;
- other unique details about this column."
Electricity Use - Grid Purchase (kBtu),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kBtu,,
Electricity Use - Grid Purchase (kWh),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kWh,,
Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kBtu,,
Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kWh,,
Electricity Use – Generated from Onsite Renewable Systems (kWh),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kWh,,
Electricity Use – Generated from Onsite Renewable Systems and Exported (kWh),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kWh,,
Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kBtu,,
Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kWh,,
ENERGY STAR Score,"The ENERGY STAR Score is a measure of how well your property is performing relative to similar properties, when normalized for climate and operational characteristics.

The ENERGY STAR scores are based on data from national building energy consumption surveys, and this allows Portfolio Manager to control for key variables affecting a building’s energy performance, including climate, hours of operation, and building size. What this means is that buildings from around the country, with different operating parameters and subject to different weather patterns, can be compared side-by-side in order to see how they stack up in terms of energy performance. The specific factors that are included in this normalization (Hours, Workers, Climate, etc) will depend on the property type.

The 1-100 scale is set so that 1 represents the worst performing buildings and 100 represents the best performing buildings. A score of 50 indicates that a building is performing at the national median, taking into account its size, location, and operating parameters. A score of 75 indicates that a property is performing in the 75th percentile and may be eligible to earn ENERGY STAR Certification.

ENERGY STAR Scores are available for many property types.

The 1-100 scale is based on the country in which your property is located. Properties in the US are compared to the national population of properties in the US. Similarly, properties in Canada are compared to the national population of properties in Canada. At this time there are no ENERGY STAR scores specifically developed for other countries. Therefore, properties located in other countries will be compared to the US national population, by default.",1-100,,
Green Power - Offsite (kWh),"Green Power is a generic term for renewable energy sources and specific clean energy technologies that emit fewer GHG emissions relative to other sources of energy that supply the electric grid. You may use green power directly from an on-site renewable system, or you may purchase green power from your utility or independent green power supplier. In order for power to be considered green, you must own what are called the Renewable Energy Certificates (RECs), or the legal claims/rights to the environmental benefits of the green power. These rights can be sold separately from the actual electricity (kWh). Therefore, please note the following distinction between Onsite and Offsite Green Power:
Onsite Green Power – Power generated from an onsite renewable system. The only types of onsite green power currently tracked in Portfolio Manager are solar and wind power. Energy use from these systems is green only if you retain the rights to the RECs associated with the power generated by your system. If you sell the RECs (for example, through REC arbitrage), then you do not have onsite green power.
Offsite Green Power – Green power purchases from your utility and/or independent purchases of RECs. If through utility purchases you acquire both electricity (kWh) and RECs, then you have the right to the Green Power. If you purchase your electricity (kWh) from your utility but your RECs from another provider, then you may attribute these RECs to your utility power. Offsite Green power sources in Portfolio Manager include Solar, Wind, Geothermal, Biogas (Landfill gas), Biomass, and Small Hydropower.",kWh,,
Green Power - Onsite (kWh),"Green Power is a generic term for renewable energy sources and specific clean energy technologies that emit fewer GHG emissions relative to other sources of energy that supply the electric grid. You may use green power directly from an on-site renewable system, or you may purchase green power from your utility or independent green power supplier. In order for power to be considered green, you must own what are called the Renewable Energy Certificates (RECs), or the legal claims/rights to the environmental benefits of the green power. These rights can be sold separately from the actual electricity (kWh). Therefore, please note the following distinction between Onsite and Offsite Green Power:
Onsite Green Power – Power generated from an onsite renewable system. The only types of onsite green power currently tracked in Portfolio Manager are solar and wind power. Energy use from these systems is green only if you retain the rights to the RECs associated with the power generated by your system. If you sell the RECs (for example, through REC arbitrage), then you do not have onsite green power.
Offsite Green Power – Green power purchases from your utility and/or independent purchases of RECs. If through utility purchases you acquire both electricity (kWh) and RECs, then you have the right to the Green Power. If you purchase your electricity (kWh) from your utility but your RECs from another provider, then you may attribute these RECs to your utility power. Offsite Green power sources in Portfolio Manager include Solar, Wind, Geothermal, Biogas (Landfill gas), Biomass, and Small Hydropower.",kWh,,
Green Power - Onsite and Offsite (kWh),"Green Power is a generic term for renewable energy sources and specific clean energy technologies that emit fewer GHG emissions relative to other sources of energy that supply the electric grid. You may use green power directly from an on-site renewable system, or you may purchase green power from your utility or independent green power supplier. In order for power to be considered green, you must own what are called the Renewable Energy Certificates (RECs), or the legal claims/rights to the environmental benefits of the green power. These rights can be sold separately from the actual electricity (kWh). Therefore, please note the following distinction between Onsite and Offsite Green Power:
Onsite Green Power – Power generated from an onsite renewable system. The only types of onsite green power currently tracked in Portfolio Manager are solar and wind power. Energy use from these systems is green only if you retain the rights to the RECs associated with the power generated by your system. If you sell the RECs (for example, through REC arbitrage), then you do not have onsite green power.
Offsite Green Power – Green power purchases from your utility and/or independent purchases of RECs. If through utility purchases you acquire both electricity (kWh) and RECs, then you have the right to the Green Power. If you purchase your electricity (kWh) from your utility but your RECs from another provider, then you may attribute these RECs to your utility power. Offsite Green power sources in Portfolio Manager include Solar, Wind, Geothermal, Biogas (Landfill gas), Biomass, and Small Hydropower.",kWh,,
Indirect (Location-Based) GHG Emissions (Metric Tons CO2e),"Greenhouse Gas (GHG) Emissions are the carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in carbon dioxide equivalent (CO2e), a universal unit of measure that combines the quantity and global warming potential of each greenhouse gas. Emissions are reported in four categories, each is available as a total amount in metric tons (Metric Tons CO2e) or as an intensity value in kilograms per square foot (kgCO2e/ft2):

Direct Emissions – Direct Emissions are emissions associated with onsite fuel combustion (e.g. combustion of natural gas or fuel oil).
Indirect Emissions – Indirect Emissions are emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at your utility’s plant, but they are a result of your property’s energy consumption and therefore contribute to your overall GHG footprint.
Biomass Emissions– Biomass Emissions are emissions associated with biogenic fuels such as wood or biogas (captured methane). The only biomass fuel currently available in Portfolio Manager is wood. Biogenic fuels are combusted onsite, but do not contribute to Direct or Total Emissions.
Total Emissions – Total Emissions is the sum of Direct Emissions and Indirect Emissions.",Metric Tons CO2e,,
Indirect (Location-Based) GHG Emissions Intensity (kgCO2e/ft²),"Indirect Emissions are emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at your utility’s plant, but they are a result of your property’s energy consumption and therefore contribute to your overall GHG footprint.",kgCO2e/ft²,,
Indoor Water Use (All Water Sources) (kgal),Sum of all Indoor water meters,kgal,,
Largest Property Use Type,Name of the Property Type (ex: Office) that has the largest Gross Floor Area (GFA) for that property.,,,
Largest Property Use Type - Gross Floor Area (ft²),GFA for the largest Property Type.,ft²,,
LEED US Project ID,A unique number to identify projects registered for Leadership in Energy and Environmental Design (LEED) recognition from the US Green Building Council (USGBC). USGBC assigns each project (building or neighborhood) this unique ID at the time of registration in LEED Online.,,,
Metered Areas (Energy),Metered Areas is a designation of what areas within your building are covered by your energy and water meters.,,,
Metered Areas (Water),Metered Areas is a designation of what areas within your building are covered by your energy and water meters.,,,
Municipally Supplied Potable Water - Indoor Use (kgal),Sum of Municipally supplied Indoor water meters,kgal,,
Municipally Supplied Potable Water - Mixed Indoor/Outdoor Use (kgal),Sum of Mixed Indoor/Outdoor Use Municipally Supplied Potable Water meters,kgal,,
Municipally Supplied Potable Water - Outdoor Use (kgal),Sum of Municipally supplied outdoor water meters,kgal,,
Municipally Supplied Potable Water - Total Use (All Meter Types) (kgal),Sum of all Municipally Supplied Potable Water meters,kgal,,
National Median ENERGY STAR Score,"The National Median is an extremely useful benchmark: 50% of properties perform below the median, and 50% perform above the median. It represents the middle of the national population. Most property types in Portfolio Manager get their National Median from the Commercial Building Energy Consumption Survey (CBECS). There are 5 exceptions where the National Median is not based on CBECS data: Data Centers, Hospitals, Multifamily, Senior Living Community, and Wastewater Treatment Plants",,,
National Median Site EUI (kBtu/ft²),"The exact way the National Median is determined depends on the property:
If your property has an ENERGY STAR score - The National Median Source EUI is the Source EUI that will give your specific property an ENERGY STAR score of 50. This means the National Median is normalized to account for your property's weather, business activity, and fuel mix. Using the National Median Source EUI, Portfolio Manager computes other National Median metrics like National Median Site EUI, National Median Energy Cost, and National Median GHG Emissions.
If your property has multiple scorable property types – the National Median is a calculated average based on the proportions of the National Medians of each property type (as calculated above).
If your property has both scorable and non-scorable property types (Office & Restaurant) - the National Median is based only on the scorable property type.
If your property does not have an ENERGY STAR score - The National Median is the Source EUI from CBECS, normalized for your property's specific fuel mix, but not normalization for either weather or business operations. Using the National Median Source EUI, Portfolio Manager computes other National Median metrics like National Median Site EUI, National Median Energy Cost, and National Median GHG Emissions.
If a property has multiple non-scorable property types (Social Hall 70%, Food Service 30%) – the National Median for comparison is the “Portfolio Manager-Calculated Property Type” (which is the property type that is over 51% of the GFA, in this example it would be Social Hall).
If your property doesn’t have a single property type that is 51% or more - your National Median for comparison is the “Mixed Use” property type from CBECS.",kBtu/ft²,,
National Median Source EUI (kBtu/ft²),"The National Median is an extremely useful benchmark: 50% of properties perform below the median, and 50% perform above the median. It represents the middle of the national population. Most property types in Portfolio Manager get their National Median from the Commercial Building Energy Consumption Survey (CBECS). There are 5 exceptions where the National Median is not based on CBECS data: Data Centers, Hospitals, Multifamily, Senior Living Community, and Wastewater Treatment Plants",kBtu/ft²,,
National Median Total (Location-Based) GHG Emissions (Metric Tons CO2e),"The National Median is an extremely useful benchmark: 50% of properties perform below the median, and 50% perform above the median. It represents the middle of the national population. Most property types in Portfolio Manager get their National Median from the Commercial Building Energy Consumption Survey (CBECS). There are 5 exceptions where the National Median is not based on CBECS data: Data Centers, Hospitals, Multifamily, Senior Living Community, and Wastewater Treatment Plants.",Metric Tons CO2e,,
Natural Gas - Weather Normalized Site Natural Gas Intensity (therms/ft²),"Weather-normalized metrics, which are automatically calculated in Portfolio Manager, are adjusted for the actual weather in your area. For example, if your area has a hotter than usual summer, your metrics will be adjusted because you will have to use more energy in this situation. Weather normalized metrics ensure that there won’t be a penalty for that hot summer because not all metrics are weather normalized.",therms/ft²,,
Natural Gas - Weather Normalized Site Natural Gas Use (therms),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,therms,,
Natural Gas Use (kBtu),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kBtu,,
Net Emissions (Metric Tons CO2e),Net emissions per metric tons CO2e,Metric Tons CO2e,,
NYC Building Identification Number (BIN)," A seven-digit identifier
Example: 1234567
Find your BIN located at the top of each building’s Property Profile Overview screen on the New York City Department of Buildings’ Building Information System (BIS).","A seven-digit identifier
Example: 1234567",,
Occupancy,"Occupancy is the percentage of your property’s Gross Floor Area (GFA) that is occupied and operational. This is a measure of the building’s occupancy/use, it is not connected to a building’s “Maximum Occupancy.”

The value you enter for occupancy will not affect your ENERGY STAR Score or any other metrics. Your Score is based on your specific Use Details (Number of Workers, Computers, etc) and you need to update your Use Details to accurately reflect the activity at your property.

Your occupancy could affect your eligibility for ENERGY STAR certification. We have the following occupancy requirements:
Office/Bank/Courthouse/Financial Office – at least 55%
Hotel - at least 60%
Multifamily – at least 80%
If you are not seeking certification for one of the above property types, you may not find Occupancy very useful (though it is required, so enter your best guess and move on).Examples to help you determine your occupancy:
Office: Occupancy is a measure of the tenant spaces that are leased. If you have a 10-story building, and on average one floor is vacant, and the other 9 floors fully leased and occupied, then the occupancy would be 90%. If you have people working on all floors/areas of your building, then you are 100% occupied. You do not need to count empty cubicles or the number of employees who enter a property.
Hotel: Occupancy is a measure of the rooms that are sold. If you have a hotel with 100 rooms, and on average 10 rooms per night are vacant, then the occupancy is 90%.
Multifamily: Occupancy is a measure of the units that are leased. If you have a 100 apartments, and 5 are vacant for the year, then the occupancy is 95%.
Worship Facility: Occupancy is the percentage of the building that is operational, regardless of how many people are in the building. Most of the time, this will be 100%.
There is only one Occupancy rate for each property as a whole. You enter Occupancy when you first create the property, and you can change it on the Details tab. You cannot track occupancy changes over time.",Percent,,
Percent of Electricity that is Green Power,"Green Power is a generic term for renewable energy sources and specific clean energy technologies that emit fewer GHG emissions relative to other sources of energy that supply the electric grid. You may use green power directly from an on-site renewable system, or you may purchase green power from your utility or independent green power supplier. In order for power to be considered green, you must own what are called the Renewable Energy Certificates (RECs), or the legal claims/rights to the environmental benefits of the green power. These rights can be sold separately from the actual electricity (kWh). Therefore, please note the following distinction between Onsite and Offsite Green Power:
Onsite Green Power – Power generated from an onsite renewable system. The only types of onsite green power currently tracked in Portfolio Manager are solar and wind power. Energy use from these systems is green only if you retain the rights to the RECs associated with the power generated by your system. If you sell the RECs (for example, through REC arbitrage), then you do not have onsite green power.
Offsite Green Power – Green power purchases from your utility and/or independent purchases of RECs. If through utility purchases you acquire both electricity (kWh) and RECs, then you have the right to the Green Power. If you purchase your electricity (kWh) from your utility but your RECs from another provider, then you may attribute these RECs to your utility power. Offsite Green power sources in Portfolio Manager include Solar, Wind, Geothermal, Biogas (Landfill gas), Biomass, and Small Hydropower.",Percent,,
Postal Code,"Postal zip code for the property, self-reported",A five-digit zip code,,
Primary Property Type - Portfolio Manager-Calculated,"Portfolio Manager calculates a property type based on the property uses that you have entered. This is the property type that accounts for more than 50% of your property. For example, if you enter a property that has an Office that accounts for 60% of your Gross Floor Area (GFA) and a Retail store for 40%, the ""Portfolio Manager-Calculated"" Property Type will be ""Office."" This property type is used to determine your peer group for comparison to the National Median. If no individual property type accounts for more than 50%, then it will be designated as Mixed Use.",,,
Primary Property Type - Self Selected,"This is the primary property type that you select. You select the type with which you most closely identify and you can change it at any time (on the Details tab, under Basic Information).",,,
Property ID,"Property IDs are unique identifiers for your property that can be used by EPA, you, or other organizations to track and manage your property. There are four main types of Property IDs:
Portfolio Manager Property IDs - This is a unique ID assigned by EPA to each property.
Portfolio Manager Parent Property IDs - If your property is a campus of buildings and you benchmark one or more ""child"" buildings individually, then each child building will be associated to its parent through this ID.
Custom IDs - A custom ID is an ID that you can set, for example, it could be an ID associated with your company or an ID for a campaign in which you are participating. When you enter a Custom ID, you can enter both a name for the ID and its actual value. For example: (Company ABC Inventory ID, 01234). When you search for these custom IDs in reports, you will see them only as Custom ID 1, Custom ID 2, and Custom ID 3, because Custom ID 1 could be different for different properties in your portfolio.
Standard IDs - A standard ID is a special type of ID with a set name that is available within Portfolio Manager. These are IDs associated with local legislation, national campaigns, or other large benchmarking activities. For example, New York City uses the Borough Block and Lot (BBL) number to track buildings in their jurisdiction. To enter a standard ID you can select the ID name from our dropdown list and then enter the value. See Standard ID for a full list.",,,
Site Energy Use (kBtu),"The annual amount of all the energy your property consumes on-site, regardless of the source. It includes energy purchased from the grid or in bulk (which are the amounts on utility bills), as well as renewable energy generated and consumed on-site such as from solar and wind (excess renewable energy generated on-site and sold to the utility is excluded from site energy use). Site Energy can be used to understand how the energy use for an individual property has changed over time.",kBtu,,
Site EUI (kBtu/ft²),The Site Energy Use divided by the property square foot.,kBtu/ft²,,
Source Energy Use (kBtu),"This metric is only available for properties that have an ENERGY STAR score. For a given 12-month period, this metric reflects the Source Energy Use the property would be expected to have if its operations were the same as in the current time period. For example, if you are looking at the period ending December 2008, this metric would tell you the amount of Source Energy you would have used in 2008 if your operating conditions (weather, hours, occupants) had been the same as they are for your current time period. Much like looking at financial investments in the dollars for a specific year, this adjusted value will help you understand the change in energy when accounting for changes in operation. Adjusted Source EUI is also available (i.e. Adjusted Source Energy divided by property size or by flow through a water/wastewater treatment plant).",kBtu,,
Source EUI (kBtu/ft²)," Source EUI (Energy Use Intensity) is Source Energy divided by the property's Gross Floor Area. In addition to what the property consumes on-site, source energy includes losses that take place during generation, transmission, and distribution of the energy, thereby enabling a complete assessment of energy consumption resulting from building operations.",kBtu/ft²,,
Target ENERGY STAR Score,"Target Values are the performance metrics associated with an established target (goal) for your property. This is the target for comparison relative to actual operation. Once your target is established, metrics such as Site EUI, Source EUI, GHG Emissions, and Energy Cost are evaluated for your target conditions. This will enable you to compare your actual energy use with your target and track your progress.",,,
Temporary Values,"Temporary Data Flag is a Yes/No flag that indicates whether temporary values have been applied to any of the Property Use Details (such as hours, workers, or computers).
Yes - One or more temporary values were used in the Property Use Details.
No – There are no temporary values for any Property Use Details.",,,
Total (Location-Based) GHG Emissions (Metric Tons CO2e),"Greenhouse Gas (GHG) Emissions are the carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in carbon dioxide equivalent (CO2e), a universal unit of measure that combines the quantity and global warming potential of each greenhouse gas. Emissions are reported in four categories, each is available as a total amount in metric tons (Metric Tons CO2e) or as an intensity value in kilograms per square foot (kgCO2e/ft2):

Direct Emissions – Direct Emissions are emissions associated with onsite fuel combustion (e.g. combustion of natural gas or fuel oil).
Indirect Emissions – Indirect Emissions are emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at your utility’s plant, but they are a result of your property’s energy consumption and therefore contribute to your overall GHG footprint.
Biomass Emissions– Biomass Emissions are emissions associated with biogenic fuels such as wood or biogas (captured methane). The only biomass fuel currently available in Portfolio Manager is wood. Biogenic fuels are combusted onsite, but do not contribute to Direct or Total Emissions.
Total Emissions – Total Emissions is the sum of Direct Emissions and Indirect Emissions.",Metric Tons CO2e,,
Total (Location-Based) GHG Emissions Intensity (kgCO2e/ft²),"Greenhouse Gas (GHG) Emissions are the carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in carbon dioxide equivalent (CO2e), a universal unit of measure that combines the quantity and global warming potential of each greenhouse gas. Emissions are reported in four categories, each is available as a total amount in metric tons (Metric Tons CO2e) or as an intensity value in kilograms per square foot (kgCO2e/ft2):

Direct Emissions – Direct Emissions are emissions associated with onsite fuel combustion (e.g. combustion of natural gas or fuel oil).
Indirect Emissions – Indirect Emissions are emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at your utility’s plant, but they are a result of your property’s energy consumption and therefore contribute to your overall GHG footprint.
Biomass Emissions– Biomass Emissions are emissions associated with biogenic fuels such as wood or biogas (captured methane). The only biomass fuel currently available in Portfolio Manager is wood. Biogenic fuels are combusted onsite, but do not contribute to Direct or Total Emissions.
Total Emissions – Total Emissions is the sum of Direct Emissions and Indirect Emissions.",kgCO2e/ft²,,
Water Use (All Water Sources) (kgal),Sum of all water meters,kgal,,
Weather Normalized Site Energy Use (kBtu),"The energy use your property would have consumed during 30-year average weather conditions. For example, if 2012 was a very hot year, then your Weather Normalized Site Energy may be lower than your Site Energy Use, because you would have used less energy if it had not been so hot. It can be helpful to use this weather normalized value to understand changes in energy when accounting for changes in weather. ",kBtu,,
Weather Normalized Site EUI (kBtu/ft²),"The energy use your property would have consumed during 30-year average weather conditions. For example, if 2012 was a very hot year, then your Weather Normalized Site Energy may be lower than your Site Energy Use, because you would have used less energy if it had not been so hot. It can be helpful to use this weather normalized value to understand changes in energy when accounting for changes in weather. Weather Normalized Site EUI is also available (i.e. Weather Normalized Site Energy divided by property size or by flow through a water/wastewater treatment plant).",kBtu/ft²,,
Weather Normalized Source Energy Use (kBtu),"The source energy use your property would have consumed during 30-year average weather conditions. For example, if 2012 was a very hot year, then your Weather Normalized Source Energy may be lower than your Source Energy Use, because you would have used less energy if it had not been so hot. It can be helpful to use this weather normalized value to understand changes in energy when accounting for changes in weather. ",kBtu,,
Weather Normalized Source EUI (kBtu/ft²),"The source energy use your property would have consumed during 30-year average weather conditions. For example, if 2012 was a very hot year, then your Weather Normalized Source Energy may be lower than your Source Energy Use, because you would have used less energy if it had not been so hot. It can be helpful to use this weather normalized value to understand changes in energy when accounting for changes in weather. Weather Normalized Source EUI is also available (i.e. Weather Normalized Source Energy divided by property size or by flow through a water/wastewater treatment plant).",kBtu/ft²,,
Year Built,"This is the year in which your property was constructed. If your property has undergone a complete renovation that included gutting and rebuilding the interior, then you can indicate the date of this renovation as the year built. The year built is not used to calculate the ENERGY STAR Score; it is simply for property information. If you don't know the exact year the property was built, enter an estimate.",YYYY,,
